Q,clip,W,D,snr_db,ber,n_errors,n_bits,ci_low,ci_high
5,2.5,10,48,4.5,3.56137752532959e-06,478,134217728,2.8612984091870843e-06,4.261456641472095e-06
5,2.5,10,48,5.0,6.109476089477539e-07,123,201326592,3.703178757886334e-07,8.515773421068744e-07
5,2.5,10,48,5.5,4.470348358154297e-08,9,201326592,0.0,1.0062903730812913e-07
5,2.5,10,64,4.0,1.9729137420654297e-05,662,33554432,1.6093105454118246e-05,2.3365169387190347e-05
5,2.5,10,64,4.5,3.1068921089172363e-06,417,134217728,2.4195060648952285e-06,3.794278152939244e-06
5,2.5,10,64,5.0,5.563100179036459e-07,112,201326592,3.1041787221338195e-07,8.022021635939098e-07
5,2.5,10,64,5.5,9.934107462565105e-08,20,201326592,1.336102901267759e-08,1.853211202386245e-07
5,3.0,10,24,4.0,5.7250261306762695e-05,1921,33554432,5.19316273957602e-05,6.256889521776518e-05
5,3.0,10,24,4.5,1.2218952178955078e-05,410,33554432,9.867225217974753e-06,1.4570679139935403e-05
5,3.0,10,24,5.0,1.519918441772461e-06,306,201326592,1.2054281805699959e-06,1.834408702974926e-06
5,3.0,10,24,5.5,1.5397866566975912e-07,31,201326592,5.614097084715706e-08,2.518163604923612e-07
